7. Pozisyon;7. Kuvvet
244,508722;41,683472
244,757517;56,1604
245,006082;72,931885
245,256708;90,514526
245,506761;108,845215
245,757158;127,180908
246,007059;145,390869
246,256616;163,174194
246,507318;180,787598
246,757257;198,118896
247,006471;215,277954
247,256944;231,914551
247,50715;248,495117
247,757166;264,812866
248,007219;281,098755
248,256815;296,941162
248,507288;312,846191
248,75757;328,394531
249,00667;344,111938
249,257372;359,547119
249,507082;374,834473
249,757288;390,052124
250,007379;405,155762
250,256708;420,033081
250,507562;435,045898
250,75754;449,832764
251,006677;464,715454
251,257189;479,466064
251,507089;494,05542
251,757257;508,722778
252,007501;523,195557
252,256792;537,741943
252,507494;552,089355
252,757356;566,544922
253,006609;580,80481
253,257234;595,118774
253,507479;609,293701
253,75715;623,609375
254,007433;637,778931
254,257028;651,905151
254,507349;666,003784
254,757402;680,071899
255,006693;694,085449
255,25728;708,032837
255,507295;722,012939
255,757349;736,08728
256,007479;749,846069
256,257074;763,840698
256,507356;777,54541
256,757448;791,479126
257,006853;805,197754
257,257402;819,062866
257,507227;832,748535
257,757356;846,567017
258,007715;860,188354
258,256891;874,113892
258,507364;887,593262
258,757532;901,28833
259,006784;914,903564
259,257448;928,457153
259,507273;942,076172
259,757326;955,649048
260,007417;969,229736
260,25667;982,746216
260,507448;996,314575
260,757196;1009,829224
261,006983;1023,341064
261,25757;1036,975464
261,507242;1050,388184
261,757372;1063,998169
262,00754;1077,412231
262,256944;1091,024292
262,507379;1104,399536
262,757242;1118,03479
263,006723;1131,414429
263,257463;1144,939819
263,50725;1158,424438
263,757227;1172,068481
264,007585;1185,309937
264,257028;1198,876343
264,507463;1212,282593
264,757364;1225,778687
265,006769;1239,203979
265,257547;1252,654907
265,507257;1266,111694
265,757463;1279,530396
266,007593;1292,986694
266,257036;1306,594116
266,507585;1319,89563
266,757334;1333,50769
267,006891;1346,807983
267,257402;1360,389282
267,507227;1373,718872
267,757471;1387,255249
268,007524;1400,589966
268,257044;1414,085327
268,507326;1427,352661
268,757456;1440,873169
269,006937;1454,240112
269,257372;1467,781128
269,507311;1481,045288
269,757402;1494,455933
270,007341;1507,877808
270,256746;1521,307983
270,507524;1534,688843
270,757578;1548,312622
271,00683;1561,634888
271,257341;1574,949829
271,507128;1588,436401
271,757486;1602,032837
272,007692;1615,411743
272,256792;1628,986938
272,507456;1642,440063
272,757395;1656,036499
273,006647;1669,479858
273,257654;1682,898071
273,507021;1696,49939
273,757265;1710,174438
274,007738;1723,697876
274,256799;1737,387573
274,50754;1750,95105
274,757517;1764,726929
275,006922;1778,237915
275,257662;1791,888062
275,507105;1805,585083
275,757196;1819,461304
276,007631;1833,027466
276,256807;1846,757446
276,5077;1860,46228
276,757562;1874,415649
277,006891;1887,994019
277,257479;1901,889282
277,507036;1915,546021
277,757395;1929,46936
278,007791;1943,244019
278,256738;1957,116089
278,50744;1970,816284
278,757646;1984,623657
279,006822;1998,473511
279,257601;2012,450806
279,507082;2026,321655
279,757593;2040,314575
280,007761;2054,201172
280,256632;2068,15918
280,507524;2082,12207
280,757616;2096,377441
281,006906;2110,213379
281,257646;2124,303223
281,506937;2138,384277
281,75741;2152,701172
282,00773;2166,78418
282,256601;2181,155273
282,507303;2195,282227
282,757509;2209,708496
283,006571;2223,848633
283,257425;2238,312012
283,507021;2252,645996
283,757341;2267,121094
284,007929;2281,465332
284,256647;2296,095703
284,507311;2310,482422
284,757402;2325,188477
285,006731;2339,773437
285,257433;2354,456055
285,507219;2369,158691
285,757425;2383,92627
286,007784;2398,674316
286,256807;2413,680664
286,507471;2428,303711
286,757562;2443,393555
287,006777;2458,126953
287,257402;2473,046875
287,506883;2488,051758
287,757395;2503,22168
288,007715;2518,155273
288,256586;2533,412598
288,507402;2548,385254
288,757379;2563,768555
289,006975;2578,839844
289,257601;2594,250488
289,507044;2609,433105
289,757402;2624,943359
290,007417;2640,273926
290,256632;2655,883789
290,507257;2671,36084
290,757082;2687,024902
291,006983;2702,56543
291,257303;2718,293945
291,50667;2734,05127
291,757524;2750,066895
292,007692;2765,832031
292,256487;2781,97168
292,507379;2797,806152
292,757395;2814,135254
293,006609;2830,133789
293,257425;2846,522461
293,506906;2862,696289
293,757494;2879,233887
294,0077;2895,685059
294,256647;2912,11084
294,507616;2928,783203
294,757479;2945,682129
295,006693;2962,408691
295,257242;2979,302246
295,506876;2996,225098
295,757578;3013,562012
296,007402;3030,433594
296,256693;3047,62207
296,5077;3064,862305
296,757105;3082,48584
297,006853;3099,65332
297,257288;3117,378418
297,506693;3134,811523
297,757738;3152,666504
298,007448;3170,361816
298,256395;3188,215332
298,507517;3205,890137
298,757074;3224,070801
299,007013;3241,908203
299,257181;3260,263184
299,506624;3278,350586
299,757517;3297,086914
300,007303;3315,25
300,256212;3333,887207
300,507601;3352,541016
300,757196;3371,436523
301,007021;3390,283203
301,257112;3409,353516
301,506632;3428,495117
301,757448;3448,013672
302,007425;3467,246582
302,25622;3486,963867
302,50757;3506,542969
302,756975;3526,319336
303,007067;3546,270508
303,257349;3566,561035
303,506449;3586,624512
303,757684;3607,192383
304,007166;3627,709473
304,256304;3648,400391
304,507692;3669,074707
304,75744;3690,330078
305,006769;3711,269531
305,257204;3732,694824
305,506571;3754,170898
305,75773;3775,820801
306,00725;3797,635742
306,256044;3819,591309
306,507204;3841,650879
306,757067;3864,300293
307,006319;3886,493164
307,256983;3909,149414
307,506426;3932,030762
307,757433;3955,265625
308,007181;3978,286621
308,255861;4001,895508
308,507288;4025,358398
308,757227;4049,078125
309,006365;4073,112793
309,256914;4097,493652
309,506433;4121,769531
309,757364;4146,625
310,006998;4171,578613
310,255869;4196,794922
310,507562;4221,972656
310,757234;4247,95459
311,006487;4273,894531
311,257074;4300,167969
311,506517;4326,75293
311,757257;4353,865723
312,007311;4380,742187
312,255838;4408,209473
312,507265;4436,001465
312,757051;4464,207031
313,006265;4492,743652
313,256777;4521,477539
313,506563;4550,949707
313,756845;4580,538086
314,007166;4610,301758
314,255731;4640,934082
314,507196;4671,694336
314,756983;4702,966797
315,00593;4734,31543
315,256555;4766,596191
315,506151;4799,049805
315,757005;4832,267578
316,006983;4865,916504
316,255281;4899,966309
316,506822;4934,526855
316,756571;4969,712402
317,00567;5005,480957
317,256067;5041,994141
317,50593;5078,638184
317,756899;5116,070312
318,006838;5154,730469
318,255098;5193,724609
318,506868;5233,28418
318,756693;5273,795898
319,005754;5314,699707
319,255998;5356,914062
319,505708;5399,541992
319,756868;5443,494629
320,006426;5488,035645
320,254305;5533,972656
320,506151;5580,535156
320,756433;5628,799316
321,005342;5677,355957
321,252916;5727,353027
321,476839;5778,108887
321,676958;5826,186523
321,857927;5870,366211
322,021234;5910,802734
322,158792;5947,84375
322,285669;5979,470215
322,388513;6007,326172
322,465647;6030,046387
322,532175;6046,557129
322,577532;6059,336426
322,597711;6066,161133
322,607477;6066,850098
322,668627;6064,012207
322,796228;6070,382324
322,908457;6092,260254
322,928179;6115,037109
322,950189;6124,372559
322,967966;6128,160645
322,980745;6128,310059
322,988031;6126,420898
322,992189;6122,154297
322,994898;6116,960937
322,996691;6110,744629
322,997949;6104,602539
322,998636;6098,108398
322,999132;6091,985352
322,999552;6085,737305
322,999666;6080,045898
322,999742;6074,243652
322,999857;6069,145508
322,999933;6063,95752
322,999971;6059,291504
322,999933;6054,553223
322,999971;6050,383301
322,999895;6046,013184
322,999971;6042,131348
322,999933;6038,134766
322,999971;6034,637695
322,999971;6030,877441
322,999933;6027,638184
322,999971;6024,136719
322,999971;6021,164551
323,000047;6017,89209
322,999933;6015,083008
322,999971;6012,035156
322,996805;6009,32666
322,979334;6006,111816
322,924288;6000,227051
322,841127;5984,27832
322,74328;5958,605957
322,63067;5924,79834
322,497576;5884,995117
322,343576;5838,239746
322,171953;5786,628906
321,976831;5729,22998
321,765878;5668,258789
321,533029;5601,992187
321,279657;5532,324707
321,006868;5459,527344
320,713594;5383,981934
320,401514;5305,649902
320,066622;5225,924805
319,713953;5144,612793
319,341448;5062,558594
318,948343;4978,822266
318,535593;4895,319824
318,102052;4810,571777
317,649362;4726,355957
317,195108;4640,729492
316,746767;4559,449219
316,297357;4479,67041
315,846575;4402,900391
315,396555;4329,359863
314,946649;4258,321777
314,496935;4190,286133
314,046381;4124,503906
313,596704;4061,40918
313,146608;4000,199707
312,696245;3941,42627
312,24695;3884,264648
311,796091;3828,741699
311,346147;3775,152344
310,896471;3723,321289
310,446451;3672,8125
309,996088;3623,821777
309,546602;3576,371094
309,095896;3529,496582
